2017/12/25 10:25:08 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: Loading user properties from: D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1\bin\user.properties 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: Loading system properties from: D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1\bin\system.properties 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: java.version=1.8.0_144 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: os.name=Windows 10 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: os.arch=amd64 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: os.version=10.0 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: Max memory     =2134376448 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: Available Processors =4 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: JMeterHome=D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: user.dir  =D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1\bin 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: PWD       =D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1\bin 
2017/12/25 10:25:11 INFO  - jmeter.JMeter: IP: 172.25.60.81 Name: egy-kmohamed-NB2 FullName: egy-kmohamed-NB2.mshome.net 
2017/12/25 10:25:11 INFO  - jmeter.services.FileServer: Default base='D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1\bin' 
2017/12/25 10:25:11 INFO  - jmeter.services.FileServer: Set new base='D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1\bin' 
2017/12/25 10:25:11 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/12/25 10:25:11 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/12/25 10:25:11 INFO  - jmeter.save.SaveService: Using SaveService properties version 3.1 
2017/12/25 10:25:11 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/12/25 10:25:11 INFO  - jmeter.save.SaveService: Loading file: AAMLive.jmx 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.control.CacheManager: Will only cache the following methods: [GET] 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/12/25 10:25:12 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files\Java\jre1.8.0_144\bin\keytool' 
2017/12/25 10:25:12 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file D:\1.Work\1. AAM\3.Performance\AAMperformanceJmeter\apache-jmeter-3.1\bin\proxyserver.jks 
2017/12/25 10:25:12 INFO  - jmeter.JMeter: Creating summariser <summary> 
2017/12/25 10:25:12 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/12/25 10:25:12 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/12/25 10:25:12 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/12/25 10:25:12 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/12/25 10:25:12 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/12/25 10:25:12 INFO  - jmeter.JMeter: Running test (1514190312897) 
2017/12/25 10:25:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : AAMLive 
2017/12/25 10:25:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group AAMLive. 
2017/12/25 10:25:12 INFO  - jmeter.engine.StandardJMeterEngine: Thread will stop on error 
2017/12/25 10:25:12 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2017/12/25 10:25:12 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/12/25 10:25:12 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/12/25 10:25:13 INFO  - jmeter.threads.JMeterThread: Thread started: AAMLive 1-1 
2017/12/25 10:25:13 INFO  - jmeter.services.FileServer: Stored: /logintestdata.txt 
2017/12/25 10:25:14 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = egy-kmohamed-NB2 
2017/12/25 10:25:14 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/12/25 10:25:14 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/12/25 10:25:14 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/12/25 10:25:14 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/12/25 10:25:14 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2017/12/25 10:25:14 INFO  - jmeter.protocol.http.sampler.LazySchemeSocketFactory: Setting up HTTPS TrustAll Socket Factory 
2017/12/25 10:25:14 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2017/12/25 10:25:14 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2017/12/25 10:25:15 INFO  - jmeter.util.SSLManager: JmeterKeyStore Location:  type JKS 
2017/12/25 10:25:15 INFO  - jmeter.util.SSLManager: KeyStore created OK 
2017/12/25 10:25:15 WARN  - jmeter.util.SSLManager: Keystore file not found, loading empty keystore 
2017/12/25 10:25:32 INFO  - jmeter.protocol.http.parser.BaseParser: Created org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/12/25 10:25:32 INFO  - jmeter.protocol.http.sampler.ResourcesDownloader: Creating ResourcesDownloader with keepalive_inseconds:60 
2017/12/25 10:25:34 INFO  - jmeter.protocol.http.parser.BaseParser: Created org.apache.jmeter.protocol.http.parser.CssParser 
2017/12/25 10:25:35 INFO  - jmeter.reporters.Summariser: summary +      1 in 00:00:23 =    0.0/s Avg: 19954 Min: 19954 Max: 19954 Err:     1 (100.00%) Active: 1 Started: 1 Finished: 0 
2017/12/25 10:25:35 INFO  - jmeter.threads.JMeterThread: Stop Thread detected by thread: AAMLive 1-1 
2017/12/25 10:25:35 INFO  - jmeter.threads.JMeterThread: Thread finished: AAMLive 1-1 
2017/12/25 10:25:35 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/12/25 10:25:35 INFO  - jmeter.services.FileServer: Close: /logintestdata.txt 
2017/12/25 10:25:35 INFO  - jmeter.reporters.Summariser: summary =      1 in 00:00:23 =    0.0/s Avg: 19954 Min: 19954 Max: 19954 Err:     1 (100.00%) 
